Longitude;Latitude;Elevation;Distance;Gradient;Maxspeed;Surface
131.073234;-12.562423;40;33218.79898;0;100;asphalt
131.073475;-12.563648;39.25;33357.50138;-0.005407261;100;asphalt
131.07353;-12.563952;39;33391.82765;-0.007283052;100;asphalt
131.073553;-12.564257;38.75;33425.83385;-0.007351601;100;asphalt
131.073592;-12.564641;37.75;33468.74199;-0.023305601;100;asphalt
131.07363;-12.565154;36.75;33525.93389;-0.017484993;100;asphalt
131.07363;-12.565246;36.75;33536.16382;0;100;asphalt
131.07363;-12.565298;36.75;33541.94596;0;100;asphalt
131.073631;-12.565479;36.5;33562.07254;-0.012421387;100;asphalt
131.073642;-12.571661;31.5;34249.4807;-0.007273699;100;asphalt
131.073639;-12.572909;33.75;34388.25236;0.016213684;100;asphalt
131.073625;-12.578762;30.5;35039.07812;-0.004993656;100;asphalt
131.073582;-12.58398;27.5;35619.31209;-0.005170328;100;asphalt
131.073586;-12.584029;27.75;35624.7779;0.045738814;100;asphalt
131.073599;-12.584326;28;35657.83292;0.007563148;100;asphalt
131.073623;-12.587307;31.75;35989.31527;0.01131282;100;asphalt
131.073614;-12.590532;30.25;36347.92029;-0.004182875;100;asphalt
131.073621;-12.5926;24.75;36577.87268;-0.023917994;100;asphalt
131.07363;-12.595628;22;36914.57237;-0.008167516;100;asphalt
131.073607;-12.605637;17;38027.52533;-0.004492553;100;asphalt
131.073606;-12.606085;16.75;38077.34078;-0.005018523;100;asphalt
131.073593;-12.612781;19.75;38821.90344;0.004029211;100;asphalt
131.073592;-12.613322;19.75;38882.06;0;100;asphalt
131.073592;-12.613711;19.25;38925.31483;-0.011559402;100;asphalt
131.073592;-12.615722;21.25;39148.92785;0.008944023;100;asphalt
131.073577;-12.616412;23;39225.66963;0.022803748;100;asphalt
131.07352;-12.617162;23.5;39309.29487;0.005979056;100;asphalt
131.07346;-12.617824;23.75;39383.19328;0.003383023;100;asphalt
131.073143;-12.619671;23.75;39591.43092;0;100;asphalt
131.072854;-12.6212;24.5;39764.3158;0.004338147;100;asphalt
